epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
117,1653.53,0.8614,0.51618,1.09325,0.03087,0.95724,0.95511,0.9853,0.71105,0.99885,0.53014,1.22658,0.02143,0.000677543,0.000677543,0.000677543
118,1667.62,0.85699,0.50731,1.09111,0.03203,0.95959,0.95012,0.98732,0.72746,0.97907,0.51071,1.19769,0.01973,0.000672675,0.000672675,0.000672675
119,1681.29,0.83672,0.48704,1.08698,0.03277,0.96192,0.94264,0.98715,0.74543,0.93042,0.49523,1.1639,0.01836,0.000667789,0.000667789,0.000667789
120,1695.24,0.89131,0.5124,1.08772,0.03338,0.97303,0.94264,0.98441,0.73262,0.97051,0.50671,1.19954,0.01901,0.000662885,0.000662885,0.000662885
121,1709.11,0.85735,0.50053,1.08157,0.03701,0.97431,0.94264,0.9811,0.7299,0.97034,0.50541,1.19797,0.02022,0.000657963,0.000657963,0.000657963
122,1723.69,0.85179,0.49441,1.09024,0.02931,0.96731,0.94264,0.9843,0.75224,0.91702,0.49564,1.15317,0.02074,0.000653025,0.000653025,0.000653025
123,1737.91,0.82375,0.48849,1.07456,0.03147,0.95261,0.95244,0.9863,0.74211,0.95313,0.50047,1.1794,0.02236,0.000648071,0.000648071,0.000648071
124,1751.98,0.81647,0.47772,1.06529,0.02817,0.95256,0.95136,0.98634,0.73404,0.97136,0.50267,1.19994,0.02129,0.000643101,0.000643101,0.000643101
125,1765.95,0.84328,0.50693,1.0796,0.03299,0.97921,0.93985,0.98738,0.76234,0.9103,0.48385,1.15468,0.01835,0.000638115,0.000638115,0.000638115
126,1779.83,0.83111,0.49665,1.07396,0.02768,0.97807,0.94015,0.9871,0.75289,0.92731,0.49104,1.17267,0.01823,0.000633115,0.000633115,0.000633115
127,1794.11,0.87852,0.52217,1.07245,0.03412,0.97425,0.93766,0.98616,0.71838,0.98993,0.50922,1.20808,0.02123,0.000628101,0.000628101,0.000628101
128,1808.14,0.85556,0.50469,1.06997,0.03251,0.97488,0.93766,0.98334,0.7264,0.9892,0.50051,1.20431,0.02092,0.000623074,0.000623074,0.000623074
129,1822.14,0.85073,0.51016,1.08221,0.0297,0.97162,0.93909,0.98454,0.76035,0.89975,0.47693,1.1507,0.01904,0.000618034,0.000618034,0.000618034
130,1836.4,0.85171,0.49654,1.08709,0.02932,0.96903,0.93643,0.9861,0.75583,0.92235,0.48404,1.16693,0.01944,0.000612981,0.000612981,0.000612981
131,1850.42,0.84732,0.50164,1.0691,0.03002,0.96664,0.93947,0.98416,0.71491,0.92651,0.51054,1.17302,0.02105,0.000607916,0.000607916,0.000607916
132,1864.6,0.81896,0.47615,1.08258,0.02816,0.97412,0.9388,0.98289,0.70865,0.94889,0.51383,1.19972,0.02046,0.00060284,0.00060284,0.00060284
133,1878.44,0.84706,0.48389,1.09912,0.03212,0.97852,0.94015,0.98587,0.74758,0.94476,0.48783,1.19413,0.01807,0.000597754,0.000597754,0.000597754
134,1892.26,0.86199,0.5106,1.06335,0.0312,0.97602,0.94514,0.98831,0.71895,0.9545,0.51182,1.18798,0.01952,0.000592657,0.000592657,0.000592657
135,1905.71,0.85277,0.50945,1.08834,0.03424,0.95007,0.94909,0.98424,0.71376,0.98778,0.53649,1.20094,0.02331,0.000587551,0.000587551,0.000587551
136,1919.86,0.87249,0.50661,1.14759,0.03479,0.94755,0.94763,0.98651,0.72934,0.96934,0.53635,1.197,0.026,0.000582435,0.000582435,0.000582435
137,1933.89,0.83261,0.49095,1.07283,0.02896,0.96815,0.93516,0.98546,0.72829,0.9838,0.51216,1.20014,0.02495,0.000577311,0.000577311,0.000577311
138,1947.99,0.83761,0.49145,1.10239,0.03096,0.96973,0.93766,0.98655,0.73593,0.97458,0.50832,1.19794,0.02313,0.000572179,0.000572179,0.000572179
139,1962.29,0.84508,0.50178,1.08928,0.02781,0.94791,0.95291,0.98676,0.7222,0.98784,0.53411,1.20395,0.02392,0.00056704,0.00056704,0.00056704
140,1976.46,0.83226,0.50326,1.03175,0.02917,0.95228,0.95511,0.98666,0.73052,0.9773,0.53602,1.1996,0.02143,0.000561894,0.000561894,0.000561894
